trunk-recorder-configs,RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,
| Mississippi | Adams | MSWIN Mississippi Wireless Integrated Network | [Jeanette](/configs/Mississippi/counties/ADAMS/Jeanette.MSWIN.1-038.P25.json) |,1,038,26,2A1,Jeanette,Adams,31.496508,-91.238203,12,769.33125,774.04375,774.293750c,774.543750c,774.793750c,,,,,,,,
| Mississippi | Adams | MSWIN Mississippi Wireless Integrated Network | [Natchez North](/configs/Mississippi/counties/ADAMS/Natchez_North.MSWIN.1-039.P25.json) |,1,039,27,2A1,Natchez North,Adams,31.674454,-91.32752,10,771.73125,773.04375,774.06875,774.318750c,774.568750c,774.818750c,,,,,,,
| Mississippi | Adams | MSWIN Mississippi Wireless Integrated Network | [Natchez South](/configs/Mississippi/counties/ADAMS/Natchez_South.MSWIN.1-040.P25.json) |,1,040,28,2A2,Natchez South,Adams,31.497288,-91.423308,12,769.21875,769.468750c,769.718750c,769.968750c,773.43125,,,,,,,,
| Mississippi | Alcorn | MSWIN Mississippi Wireless Integrated Network | [Pine Mountain](/configs/Mississippi/counties/ALCORN/Pine_Mountain.MSWIN.3-041.P25.json) |,3,041,29,2A1,Pine Mountain,Alcorn,34.89559,-88.76675,16,770.906250c,772.80625,770.656250c,770.406250c,770.15625,772.50625,,,,,,,
| Mississippi | Alcorn | MSWIN Mississippi Wireless Integrated Network | [Farmington](/configs/Mississippi/counties/ALCORN/Farmington.MSWIN.3-042.P25.json) |,3,042,2A,2A5,Farmington,Alcorn,34.93128,-88.42065,16,771.63125,774.318750c,774.568750c,774.818750c,774.06875,771.33125,,,,,,,
| Mississippi | Amite | MSWIN Mississippi Wireless Integrated Network | [Liberty](/configs/Mississippi/counties/AMITE/Liberty.MSWIN.1-027.P25.json) |,1,027,1B,2A0,Liberty,Amite,31.128622,-90.769622,12,770.03125,773.08125,773.331250c,773.581250c,773.831250c,,,,,,,,
| Mississippi | Amite | MSWIN Mississippi Wireless Integrated Network | [Gloster](/configs/Mississippi/counties/AMITE/Gloster.MSWIN.1-042.P25.json) |,1,042,2A,2A1,Gloster,Amite,31.188428,-91.006794,14,770.15625,770.406250c,770.656250c,770.906250c,772.15625,,,,,,,,
| Mississippi | Attala | MSWIN Mississippi Wireless Integrated Network | [ETV McAdams](/configs/Mississippi/counties/ATTALA/ETV_McAdams.MSWIN.3-002.P25.json) |,3,002,2,2A2,ETV McAdams,Attala,33.03479,-89.69204,16,769.20625,769.456250c,769.706250c,769.956250c,772.73125,,,,,,,,
| Mississippi | Attala | MSWIN Mississippi Wireless Integrated Network | [Kosciusko](/configs/Mississippi/counties/ATTALA/Kosciusko.MSWIN.3-005.P25.json) |,3,005,5,,Kosciusko,Attala,33.19878,-89.52372,16,770.156250c,770.406250c,770.656250c,770.906250c,774.48125,,,,,,,,
| Mississippi | Benton | MSWIN Mississippi Wireless Integrated Network | [Hickory Flat](/configs/Mississippi/counties/BENTON/Hickory_Flat.MSWIN.3-038.P25.json) |,3,038,26,,Hickory Flat,Benton,34.6076,-89.20771,16,769.19375,769.443750c,769.693750c,769.943750c,771.60625,771.95625,,,,,,,
| Mississippi | Benton | MSWIN Mississippi Wireless Integrated Network | [Lamar](/configs/Mississippi/counties/BENTON/Lamar.MSWIN.3-039.P25.json) |,3,039,27,,Lamar,Benton,34.91939,-89.30991,16,770.85625,773.08125,773.331250c,773.581250c,773.831250c,770.10625,,,,,,,
| Mississippi | Benton | MSWIN Mississippi Wireless Integrated Network | [Ashland](/configs/Mississippi/counties/BENTON/Ashland.MSWIN.3-040.P25.json) |,3,040,28,,Ashland,Benton,34.84703,-89.10381,16,769.25625,770.931250c,770.681250c,770.431250c,774.41875,,,,,,,,
| Mississippi | Bolivar | MSWIN Mississippi Wireless Integrated Network | [DPS Shaw](/configs/Mississippi/counties/BOLIVAR/DPS_Shaw.MSWIN.3-013.P25.json) |,3,013,D,2A2,DPS Shaw,Bolivar,33.61869,-90.86672,16,771.65625,774.318750c,774.568750c,774.818750c,771.15625,,,,,,,,
| Mississippi | Bolivar | MSWIN Mississippi Wireless Integrated Network | [Shelby](/configs/Mississippi/counties/BOLIVAR/Shelby.MSWIN.3-014.P25.json) |,3,014,E,2A0,Shelby,Bolivar,33.97306,-90.76406,16,770.418750c,770.668750c,770.918750c,772.78125,769.25625,,,,,,,,
| Mississippi | Bolivar | MSWIN Mississippi Wireless Integrated Network | [Cleveland-Boyle](/configs/Mississippi/counties/BOLIVAR/Cleveland-Boyle.MSWIN.3-047.P25.json) |,3,047,2F,2A1,Cleveland-Boyle,Bolivar,33.71778,-90.70972,20,773.081250c,772.54375,772.79375,773.581250c,773.331250c,,,,,,,,
| Mississippi | Calhoun | MSWIN Mississippi Wireless Integrated Network | [Bruce](/configs/Mississippi/counties/CALHOUN/Bruce.MSWIN.2-028.P25.json) |,2,028,1C,,Bruce,Calhoun,34.04483,-89.35189,16,771.63125,773.806250c,773.056250c,773.306250c,773.556250c,771.15625,,,,,,,
| Mississippi | Carroll | MSWIN Mississippi Wireless Integrated Network | [Carrollton](/configs/Mississippi/counties/CARROLL/Carrollton.MSWIN.3-008.P25.json) |,3,008,8,2A1,Carrollton,Carroll,33.43322,-89.96139,16,769.406250c,769.656250c,769.906250c,772.98125,,,,,,,,,
| Mississippi | Carroll | MSWIN Mississippi Wireless Integrated Network | [North Carrollton](/configs/Mississippi/counties/CARROLL/North_Carrollton.MSWIN.3-009.P25.json) |,3,009,9,2A2,North Carrollton,Carroll,33.60739,-90.01564,16,771.50625,773.818750c,773.568750c,773.318750c,771.13125,,,,,,,,
| Mississippi | Chickasaw | MSWIN Mississippi Wireless Integrated Network | [Woodland](/configs/Mississippi/counties/CHICKASAW/Woodland.MSWIN.2-027.P25.json) |,2,027,1B,,Woodland,Chickasaw,33.80036,-89.13814,16,770.181250c,770.431250c,770.681250c,770.931250c,772.65625,772.38125,,,,,,,
| Mississippi | Choctaw | MSWIN Mississippi Wireless Integrated Network | [Ackerman](/configs/Mississippi/counties/CHOCTAW/Ackerman.MSWIN.2-022.P25.json) |,2,022,16,,Ackerman,Choctaw,33.36433,-89.18117,16,772.33125,774.068750c,774.318750c,774.568750c,774.818750c,771.18125,,,,,,,
| Mississippi | Claiborne | MSWIN Mississippi Wireless Integrated Network | [Port Gibson](/configs/Mississippi/counties/CLAIBORNE/Port_Gibson.MSWIN.2-001.P25.json) |,2,001,1,2A1,Port Gibson,Claiborne,31.99189,-90.97392,14,771.48125,773.05625,773.306250c,773.556250c,773.806250c,,,,,,,,
| Mississippi | Clarke | MSWIN Mississippi Wireless Integrated Network | [Quitman](/configs/Mississippi/counties/CLARKE/Quitman.MSWIN.2-033.P25.json) |,2,033,21,,Quitman,Clarke,32.0175,-88.60056,16,771.25625,774.818750c,774.06875,774.318750c,774.568750c,,,,,,,,
| Mississippi | Clarke | MSWIN Mississippi Wireless Integrated Network | [Middleton](/configs/Mississippi/counties/CLARKE/Middleton.MSWIN.2-034.P25.json) |,2,034,22,,Middleton,Clarke,32.20911,-88.58539,16,769.218750c,769.468750c,769.718750c,769.968750c,772.95625,,,,,,,,
| Mississippi | Clay | MSWIN Mississippi Wireless Integrated Network | [Reid Hill](/configs/Mississippi/counties/CLAY/Reid_Hill.MSWIN.2-026.P25.json) |,2,026,1A,,Reid Hill,Clay,33.69425,-88.87494,16,769.18125,769.431250c,769.681250c,769.931250c,772.15625,772.50625,,,,,,,
| Mississippi | Coahoma | MSWIN Mississippi Wireless Integrated Network | [MDOT Coahoma](/configs/Mississippi/counties/COAHOMA/MDOT_Coahoma.MSWIN.3-016.P25.json) |,3,016,10,2A3,MDOT Coahoma,Coahoma,34.19917,-90.46819,16,771.48125,771.80625,774.03125,774.281250c,774.531250c,774.781250c,,,,,,,
| Mississippi | Copiah | MSWIN Mississippi Wireless Integrated Network | [Bowerton](/configs/Mississippi/counties/COPIAH/Bowerton.MSWIN.2-002.P25.json) |,2,002,2,2A3,Bowerton,Copiah,31.74822,-90.61644,14,769.20625,769.456250c,769.706250c,769.956250c,772.80625,,,,,,,,
| Mississippi | Copiah | MSWIN Mississippi Wireless Integrated Network | [MDOT Hazlehurst](/configs/Mississippi/counties/COPIAH/MDOT_Hazlehurst.MSWIN.2-003.P25.json) |,2,003,3,,MDOT Hazlehurst,Copiah,31.864503,-90.404314,18,770.18125,770.431250c,770.681250c,770.931250c,773.20625,774.70625,,,,,,,
| Mississippi | Covington | MSWIN Mississippi Wireless Integrated Network | [Seminary](/configs/Mississippi/counties/COVINGTON/Seminary.MSWIN.1-014.P25.json) |,1,014,E,,Seminary,Covington,31.608944,-89.429,16,769.19375,769.443750c,769.693750c,769.943750c,774.73125,,,,,,,,
| Mississippi | Covington | MSWIN Mississippi Wireless Integrated Network | [Collins West](/configs/Mississippi/counties/COVINGTON/Collins_West.MSWIN.1-015.P25.json) |,1,015,F,,Collins West,Covington,31.630278,-89.619667,14,772.73125,774.03125,774.281250c,774.531250c,774.781250c,,,,,,,,
| Mississippi | DeSoto | MSWIN Mississippi Wireless Integrated Network | [Lewisburg](/configs/Mississippi/counties/DESOTO/Lewisburg.MSWIN.3-026.P25.json) |,3,026,1A,2A3,Lewisburg,DeSoto,34.86645,-89.84074,16,769.18125,769.431250c,769.681250c,769.931250c,772.53125,772.83125,,,,,,,
| Mississippi | DeSoto | MSWIN Mississippi Wireless Integrated Network | [DeSoto County Simulcast](/configs/Mississippi/counties/DESOTO/DeSoto_County_Simulcast.MSWIN.4-001.P25.json) |,4,001,1,2A1,DeSoto County Simulcast,DeSoto,34.889419,-90.005155,18,854.212500c,854.3375,854.3625,854.462500c,856.487500c,856.762500c,857.4875,857.7625,858.4875,858.7625,859.4875,859.7625,
| Mississippi | Forrest | MSWIN Mississippi Wireless Integrated Network | [Rock Hill](/configs/Mississippi/counties/FORREST/Rock_Hill.MSWIN.1-002.P25.json) |,1,002,2,,Rock Hill,Forrest,31.085839,-89.303139,15,773.65625,773.90625,769.15625,769.406250c,769.656250c,769.906250c,,,,,,,
| Mississippi | Forrest | MSWIN Mississippi Wireless Integrated Network | [Hattiesburg](/configs/Mississippi/counties/FORREST/Hattiesburg.MSWIN.1-048.P25.json) |,1,048,30,,Hattiesburg,Forrest,31.31917,-89.33028,14,854.2125,855.2125,855.7125,855.9875,856.937500c,857.287500c,,,,,,,
| Mississippi | Forrest | MSWIN Mississippi Wireless Integrated Network | [Brooklyn](/configs/Mississippi/counties/FORREST/Brooklyn.MSWIN.1-049.P25.json) |,1,049,31,,Brooklyn,Forrest,31.02464,-89.19867,14,854.9875,855.2125,855.4625,855.7125,855.9375,856.312500c,857.362500c,,,,,,
| Mississippi | Franklin | MSWIN Mississippi Wireless Integrated Network | [Bude](/configs/Mississippi/counties/FRANKLIN/Bude.MSWIN.1-034.P25.json) |,1,034,22,2A2,Bude,Franklin,31.369722,-90.748972,14,771.50625,773.04375,773.293750c,773.543750c,773.793750c,,,,,,,,
| Mississippi | Franklin | MSWIN Mississippi Wireless Integrated Network | [Roxie](/configs/Mississippi/counties/FRANKLIN/Roxie.MSWIN.1-035.P25.json) |,1,035,23,2A0,Roxie,Franklin,31.500872,-91.035591,12,769.16875,769.418750c,769.668750c,769.918750c,774.48125,,,,,,,,
| Mississippi | George | MSWIN Mississippi Wireless Integrated Network | [Lucedale ](/configs/Mississippi/counties/GEORGE/Lucedale_.MSWIN.1-019.P25.json) |,1,019,13,,Lucedale ,George,30.925639,-88.520083,14,770.20625,770.456250c,770.706250c,770.956250c,772.83125,,,,,,,,
| Mississippi | George | MSWIN Mississippi Wireless Integrated Network | [Benndale](/configs/Mississippi/counties/GEORGE/Benndale.MSWIN.1-020.P25.json) |,1,020,14,,Benndale,George,30.858206,-88.808383,14,773.58125,773.83125,774.081250c,774.331250c,774.581250c,774.831250c,,,,,,,
| Mississippi | Greene | MSWIN Mississippi Wireless Integrated Network | [SMCI Leakesville](/configs/Mississippi/counties/GREENE/SMCI_Leakesville.MSWIN.1-004.P25.json) |,1,004,4,,SMCI Leakesville,Greene,31.172844,-88.606128,15,771.60625,773.04375,773.293750c,773.543750c,773.793750c,,,,,,,,
| Mississippi | Grenada | MSWIN Mississippi Wireless Integrated Network | [Grenada](/configs/Mississippi/counties/GRENADA/Grenada.MSWIN.3-011.P25.json) |,3,011,B,2A3,Grenada,Grenada,33.748,-89.855,16,769.08125,769.85625,774.831250c,774.581250c,774.331250c,774.081250c,,,,,,,
| Mississippi | Grenada | MSWIN Mississippi Wireless Integrated Network | [Grenada Lake](/configs/Mississippi/counties/GRENADA/Grenada_Lake.MSWIN.3-012.P25.json) |,3,012,C,2A0,Grenada Lake,Grenada,33.86699,-89.60876,16,773.08125,773.331250c,773.581250c,773.831250c,774.90625,774.65625,,,,,,,
| Mississippi | Hancock | MSWIN Mississippi Wireless Integrated Network | [Hancock County](/configs/Mississippi/counties/HANCOCK/Hancock_County.MSWIN.1-022.P25.json) |,1,022,16,,Hancock County,Hancock,30.613558,-89.41495,16,772.23125,772.90625,774.05625,774.306250c,774.556250c,774.806250c,,,,,,,
| Mississippi | Hancock | MSWIN Mississippi Wireless Integrated Network | [Kiln](/configs/Mississippi/counties/HANCOCK/Kiln.MSWIN.1-050.P25.json) |,1,050,32,,Kiln,Hancock,30.4375,-89.43403,20,851.112500c,851.575000c,852.650000c,852.912500c,853.1875,,,,,,,,
| Mississippi | Hancock | MSWIN Mississippi Wireless Integrated Network | [Waveland](/configs/Mississippi/counties/HANCOCK/Waveland.MSWIN.1-051.P25.json) |,1,051,33,2A0,Waveland,Hancock,30.313611,-89.411389,20,769.281250c,770.218750c,770.468750c,770.718750c,773.94375,,,,,,,,
| Mississippi | Hancock | MSWIN Mississippi Wireless Integrated Network | [Port Bienville](/configs/Mississippi/counties/HANCOCK/Port_Bienville.MSWIN.1-052.P25.json) |,1,052,34,,Port Bienville,Hancock,30.2285,-89.538583,20,770.518750c,771.143750c,772.243750c,772.518750c,856.2625,855.4125,856.6625,857.0125,857.6625,858.1625,772.91875,773.99375,
| Mississippi | Hancock | MSWIN Mississippi Wireless Integrated Network | [Stennis Space Center](/configs/Mississippi/counties/HANCOCK/Stennis_Space_Center.MSWIN.1-055.P25.json) |,1,055,37,,Stennis Space Center,Hancock,30.374444,-89.618056,20,769.606250c,770.093750c,771.09375,772.34375,773.93125,,,,,,,,
| Mississippi | Harrison | MSWIN Mississippi Wireless Integrated Network | [Harrison County](/configs/Mississippi/counties/HARRISON/Harrison_County.MSWIN.1-017.P25.json) |,1,017,11,,Harrison County,Harrison,30.454806,-89.219833,20,770.19375,770.44375,770.69375,770.94375,771.68125,773.068750c,773.318750c,773.568750c,773.818750c,772.33125,772.73125,774.63125,
| Mississippi | Hinds | MSWIN Mississippi Wireless Integrated Network | [ETV Raymond](/configs/Mississippi/counties/HINDS/ETV_Raymond.MSWIN.2-008.P25.json) |,2,008,8,,ETV Raymond,Hinds,32.19167,-90.40611,14,770.15625,770.40625,770.60625,770.65625,770.85626,771.10625,771.35625,771.65625,771.98125,773.031250c,773.281250c,773.531250c,773.781250c
