Decimal,Hex,Alpha Tag,Mode,Category,Tag,Description
5,005,Motorola,T,MSWIN Maintenance,Public Works,Motorola radio technicians --- MSWIN Maintenance --- Public Works
11,00b,TG 11,T,MSWIN Maintenance,Public Works,Test Group 11 --- MSWIN Maintenance --- Public Works
12,00c,TG 12,T,MSWIN Maintenance,Public Works,Test Group 12 --- MSWIN Maintenance --- Public Works
13,00d,TG 13,T,MSWIN Maintenance,Public Works,Test Group 13 --- MSWIN Maintenance --- Public Works
14,00e,TG 14,T,MSWIN Maintenance,Public Works,Test Group 14 --- MSWIN Maintenance --- Public Works
15,00f,TG 15,T,MSWIN Maintenance,Public Works,Test Group 15 --- MSWIN Maintenance --- Public Works
16,010,TG 16,T,MSWIN Maintenance,Public Works,Test Group 16 --- MSWIN Maintenance --- Public Works
17,011,TG 17,T,MSWIN Maintenance,Public Works,Test Group 17 --- MSWIN Maintenance --- Public Works
18,012,TG 18,T,MSWIN Maintenance,Public Works,Test Group 18 --- MSWIN Maintenance --- Public Works
19,013,TG 19,T,MSWIN Maintenance,Public Works,Test Group 19 --- MSWIN Maintenance --- Public Works
20,014,TG 20,T,MSWIN Maintenance,Public Works,Test Group 20 --- MSWIN Maintenance --- Public Works
21,015,TG 21,T,MSWIN Maintenance,Public Works,Test Group 21 --- MSWIN Maintenance --- Public Works
30,01e,TG 30,T,MSWIN Maintenance,Public Works,Test Group 30 --- MSWIN Maintenance --- Public Works
50,032,TG 50,T,MSWIN Maintenance,Public Works,Test Group 50 --- MSWIN Maintenance --- Public Works
3935,f5f,45-EMERGENCY,T,Madison County (45),Emergency Ops,County Emergency --- Madison County (45) --- Emergency Ops
3943,f67,45-EMA/FIRE DISP,T,Madison County (45),Emergency Ops,County EMA/Fire - Dispatch --- Madison County (45) --- Emergency Ops
3946,f6a,45-COMMON,T,Madison County (45),Interop,County Common --- Madison County (45) --- Interop
4090,ffa,45-CO SCH BUSES,T,Madison County (45),Schools,County School Buses --- Madison County (45) --- Schools
10001,2711,Tech 10001,T,MSWIN Maintenance,Public Works,Tech 10001 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10002,2712,Tech 10002,T,MSWIN Maintenance,Public Works,Tech 10002 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10003,2713,Tech 10003,T,MSWIN Maintenance,Public Works,Tech 10003 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10004,2714,Tech 10004  ,T,MSWIN Maintenance,Public Works,Tech 10004 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10005,2715,Tech 10005,TE,MSWIN Maintenance,Public Works,Tech 10005 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10006,2716,Tech 10006  ,T,MSWIN Maintenance,Public Works,Tech 10006 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10007,2717,Tech 10007,T,MSWIN Maintenance,Public Works,Tech 10007 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10008,2718,Tech 10008,T,MSWIN Maintenance,Public Works,Tech 10008 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10009,2719,Tech 10009,T,MSWIN Maintenance,Public Works,Tech 10009 - Unknown radio tech usage --- MSWIN Maintenance --- Public Works
10110,277e,R7 SE CMN,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 7 Special Event Common --- Z1 Interop - Zone 1 Interoperability --- Interop
10111,277f,R7 SE 1,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 7 Special Event 1 --- Z1 Interop - Zone 1 Interoperability --- Interop
10112,2780,R7 SE 2,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 7 Special Event 2 --- Z1 Interop - Zone 1 Interoperability --- Interop
10113,2781,R7 SE 3,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 7 Special Event 3 --- Z1 Interop - Zone 1 Interoperability --- Interop
10120,2788,R8 SE CMN,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 8 Special Event Common --- Z1 Interop - Zone 1 Interoperability --- Interop
10121,2789,R8 SE 1,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 8 Special Event 1 --- Z1 Interop - Zone 1 Interoperability --- Interop
10122,278a,R8 SE 2,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 8 Special Event 2 --- Z1 Interop - Zone 1 Interoperability --- Interop
10123,278b,R8 SE 3,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 8 Special Event 3 --- Z1 Interop - Zone 1 Interoperability --- Interop
10130,2792,R9 SE CMN,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 9 Special Event Common --- Z1 Interop - Zone 1 Interoperability --- Interop
10131,2793,R9 SE 1,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 9 Special Event 1 --- Z1 Interop - Zone 1 Interoperability --- Interop
10132,2794,R9 SE 2,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 9 Special Event 2 --- Z1 Interop - Zone 1 Interoperability --- Interop
10133,2795,R9 SE 3,T,Z1 Interop - Zone 1 Interoperability,Interop,Region 9 Special Event 3 --- Z1 Interop - Zone 1 Interoperability --- Interop
10311,2847,GULFWIN 1 LWIN,T,Gulf WIN - Gulf Coast Wireless Information Network,Interop,Gulf Coast Interoperability Ch.1 MSWIN LWIN Link --- Gulf WIN - Gulf Coast Wireless Information Network --- Interop
10312,2848,GULFWIN 2 LWIN,T,Gulf WIN - Gulf Coast Wireless Information Network,Interop,Gulf Coast Interoperability Ch.2 MSWIN LWIN Link --- Gulf WIN - Gulf Coast Wireless Information Network --- Interop
10313,2849,GULFWIN 3,T,Gulf WIN - Gulf Coast Wireless Information Network,Interop,Gulf Coast Interoperability Ch.3 --- Gulf WIN - Gulf Coast Wireless Information Network --- Interop
10314,284a,GULFWIN 4,T,Gulf WIN - Gulf Coast Wireless Information Network,Interop,Gulf Coast Interoperability Ch.4 --- Gulf WIN - Gulf Coast Wireless Information Network --- Interop
10315,284b,GULFWIN 5,T,Gulf WIN - Gulf Coast Wireless Information Network,Interop,Gulf Coast Interoperability Ch.5 --- Gulf WIN - Gulf Coast Wireless Information Network --- Interop
10401,28a1,R1 SE CMN,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 1 Special Event Common --- Z2 Interop - Zone 2 Interoperability --- Interop
10402,28a2,R1 SE 1,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 1 Special Event 1 --- Z2 Interop - Zone 2 Interoperability --- Interop
10403,28a3,R1 SE 2,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 1 Special Event 2 --- Z2 Interop - Zone 2 Interoperability --- Interop
10404,28a4,R1 SE 3,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 1 Special Event 3 --- Z2 Interop - Zone 2 Interoperability --- Interop
10410,28aa,R5 SE CMN,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 5 Special Event Common --- Z2 Interop - Zone 2 Interoperability --- Interop
10411,28ab,R5 SE 1,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 5 Special Event 1 --- Z2 Interop - Zone 2 Interoperability --- Interop
10412,28ac,R5 SE 2,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 5 Special Event 2 --- Z2 Interop - Zone 2 Interoperability --- Interop
10413,28ad,R5 SE 3,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 5 Special Event 3 --- Z2 Interop - Zone 2 Interoperability --- Interop
