Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1001,3e9,Motorola 1,D,Motorola 1,Public Works,Office of the CIO
1002,3ea,Motorola 2,D,Motorola 2,Public Works,Office of the CIO
1003,3eb,Motorola 3,D,Motorola 3,Public Works,Office of the CIO
1004,3ec,Motorola 4,D,Motorola 4,Public Works,Office of the CIO
1005,3ed,Motorola 5,D,Motorola 5,Public Works,Office of the CIO
3001,bb9,Troop A ISO SEC,DE,ISO Secure,Law Tac,State Patrol Troop A  Omaha
3002,bba,Troop A SEC 5,DE,Secure 5,Law Tac,State Patrol Troop A  Omaha
3003,bbb,Troop A SEC 6,DE,Secure 6,Law Tac,State Patrol Troop A  Omaha
3004,bbc,Troop A SEC 7,DE,Secure 7,Law Tac,State Patrol Troop A  Omaha
3005,bbd,Troop A LE 1,D,LE 1,Law Tac,State Patrol Troop A  Omaha
3006,bbe,Troop A LE 2,D,LE 2,Law Tac,State Patrol Troop A  Omaha
3007,bbf,NSP Brk Arw,DE,Broken Arrow,Law Talk,State Patrol  Statewide
3008,bc0,Troop A LE 3 SEC,De,LE 3 Secure,Law Tac,State Patrol Troop A  Omaha
3010,bc2,Troop B Disp 2,DE,Dispatch 2,Law Tac,State Patrol Troop B  Norfolk
3011,bc3,Troop B ISO,D,ISO,Law Dispatch,State Patrol Troop B  Norfolk
3012,bc4,Troop B Sec 5,DE,Secure 5,Law Tac,State Patrol Troop B  Norfolk
3013,bc5,Troop B Sec 6,DE,Secure 6,Law Tac,State Patrol Troop B  Norfolk
3014,bc6,Troop B Sec 7,DE,Secure 7,Law Tac,State Patrol Troop B  Norfolk
3015,bc7,Troop B LE 1,D,LE 1,Law Tac,State Patrol Troop B  Norfolk
3016,bc8,Troop B LE 2,D,LE 2,Law Tac,State Patrol Troop B  Norfolk
3018,bca,Troop B LE 3,De,LE 3,Law Tac,State Patrol Troop B  Norfolk
3019,bcb,NSP SWAT 1,D,SWAT 1,Law Tac,State Patrol  Statewide
3020,bcc,NSP SWAT 2,D,SWAT 2,Law Tac,State Patrol  Statewide
3022,bce,Troop E Disp 1,D,Dispatch 1,Law Dispatch,State Patrol Troop E  Scottsbluff
3025,bd1,Troop C LE 5,DE,LE 5,Law Tac,State Patrol Troop C  Grand Island
3026,bd2,Troop C LE 6,DE,LE 6,Law Tac,State Patrol Troop C  Grand Island
3027,bd3,Troop C LE 7,DE,LE 7,Law Tac,State Patrol Troop C  Grand Island
3028,bd4,Troop C LE 1,D,LE 1,Law Tac,State Patrol Troop C  Grand Island
3029,bd5,Troop C LE 2,D,LE 2,Law Tac,State Patrol Troop C  Grand Island
3030,bd6,Troop C LE SEC,DE,LE SEC,Law Tac,State Patrol Troop C  Grand Island
3031,bd7,Troop C LE SEC3,DE,LE Secure 3,Law Tac,State Patrol Troop C  Grand Island
3034,bda,Troop B Disp 4,DE,Dispatch 4,Law Tac,State Patrol Troop B  Norfolk
3036,bdc,Troop D ENC,DE,Encrypted 3036,Law Tac,State Patrol Troop D  North Platte
3039,bdf,Troop D LE 1,D,LE 1,Law Tac,State Patrol Troop D  North Platte
3040,be0,Troop D LE 2,D,LE 2,Law Tac,State Patrol Troop D  North Platte
3042,be2,Troop D LE SEC3,DE,LE Secure 3,Law Tac,State Patrol Troop D  North Platte
3045,be5,Troop A Captl Sc,DE,Capital Security,Law Tac,State Patrol Troop A  Omaha
3047,be7,NSP Exec Prot,DE,Executive Protection,Law Talk,State Patrol  Statewide
3051,beb,Troop E ISO Sec,De,ISO Secure,Law Tac,State Patrol Troop E  Scottsbluff
3052,bec,Troop E Sec 5,DE,Secure 5,Law Tac,State Patrol Troop E  Scottsbluff
3053,bed,Troop E Sec 6,D,Secure 6,Law Tac,State Patrol Troop E  Scottsbluff
3054,bee,Troop E Sec 7,D,Secure 7,Law Tac,State Patrol Troop E  Scottsbluff
3055,bef,Troop E LE 1,D,LE 1,Law Tac,State Patrol Troop E  Scottsbluff
